plate	well	controlStatus	GeneID	GeneSymbol	LocusID	Accession	VehAvg	DrugAvg	ratio	FDR	Vnorm.1	Vnorm.2	Dnorm.1	Dnorm.2	Vraw.1	Vraw.2	Draw.1	Draw.2	Batch	SI_dev
2	K01	sample	NA	NA	NA	NA	0.7515164756	0.4210423536	0.5602569834	0.0258953723	0.756337639	0.7466953123	0.4123578361	0.4297268712	87596	100096	52428	55256	1	-0.439743016564164
12	C17	sample	M-027228-00	FLJ46111	283102	NM_198473	1.0925494478	0.2439402913	0.223276202	2.13e-07	1.14303273	1.0420661657	0.4607331888	0.0271473937	115316	120640	47180	2804	7	-0.776723797966267
12	D22	sample	M-027567-00	LOC284661	284661	XM_378832	1.005653255	0.5047174418	0.5018801852	0.0005336208	1.0753127292	0.9359937808	0.0299212906	0.9795135931	108484	108360	3064	101172	7	-0.498119814816291
12	J21	sample	M-018244-00	FLJ36701	283860	NM_173617	0.6208570361	0.4198237164	0.6762003037	0.0170714011	0.7294570109	0.5122570614	0.38093006	0.4587173728	73592	59304	39008	47380	7	-0.323799696298247
13	A18	sample	M-017884-00	LOC317671	317671	NM_173362	0.7611529174	0.5070894297	0.6662122921	0.0033891157	0.7646255018	0.7576803331	0.4920712277	0.5221076317	71624	80796	52504	55688	7	-0.333787707995863
13	A24	sample	M-017911-00	ANKRD21	317754	NM_174981	0.5784243933	0.344085963	0.5948676559	0.0001941219	0.5663165087	0.590532278	0.2895595127	0.3986124133	53048	62972	30896	42516	7	-0.405132344078379
13	J15	sample	M-029344-00	LOC286149	286149	XM_379594	0.6480057178	0.4291926434	0.662328482	0.0030379234	0.6394226663	0.6565887693	0.4156326148	0.442752672	59896	70016	44348	47224	7	-0.337671517996596
13	N12	sample	M-017970-00	FLJ33207	339855	NM_178554	0.7207380731	0.3559248554	0.4938338472	0.0003827761	0.7699205739	0.6715555722	0.6527460169	0.059103694	72120	71612	69648	6304	7	-0.506166152783067
15	N15	sample	M-021940-00	LOC253970	253970	XM_378452	0.9043992371	0.4894258509	0.5411612824	0.0401978263	1.0044178095	0.8043806647	0.4285546232	0.5502970787	104584	93720	43716	53348	8	-0.458838717600683
15	O10	sample	M-029449-00	DKFZP434P0216	256158	XM_175125	0.7785398373	0.3852637423	0.4948542436	0.0125976813	0.8406899466	0.7163897281	0.3850678378	0.3854596468	87536	83468	39280	37368	8	-0.505145756431214
15	O19	sample	M-016935-00	PXT1	222659	NM_152990	0.934636573	0.5174694867	0.5536585039	0.0198632971	0.9764895701	0.8927835759	0.5143910282	0.5205479452	101676	104020	52472	50464	8	-0.446341496097222
15	P05	sample	M-032013-00	MAP1D	254042	NM_199227	0.9461919406	0.5110859807	0.540150427	0.0401978263	1.0120625408	0.8803213403	0.5889734138	0.4331985476	105380	102568	60080	41996	8	-0.459849573012726
15	P07	sample	M-025464-00	FLJ25778	254048	XM_376679	0.532722605	0.0612565941	0.1149877882	0.0002228403	0.5296377396	0.5358074705	0.0472119834	0.0753012048	55148	62428	4816	7300	8	-0.885012211760283
15	P11	sample	M-016759-00	BRODL	254065	NM_153252	0.9560556144	0.3787576298	0.3961669427	0.0059395618	1.0248549806	0.8872562483	0.3395419967	0.4179732629	106712	103376	34636	40520	8	-0.603833057329106
18	I13	sample	M-022014-00	C14ORF78	113146	XM_290629	0.9042645551	0.5844377202	0.6463127599	0.0421434324	0.929552063	0.8789770471	0.5534444011	0.6154310394	101020	110672	59596	65264	10	-0.353687240104546
18	O24	sample	M-016007-00	MGC26610	133690	NM_144647	0.9773609874	0.5839123069	0.5974377067	0.02881259	1.0139865288	0.940735446	0.5628795899	0.6049450239	110196	118448	60612	64152	10	-0.402562293331005
19	A13	sample	M-021318-00	WDR20	91833	NM_144574	0.847190171	0.5507425041	0.6500813194	0.0331649599	0.8666309792	0.8277493627	0.5711595795	0.5303254288	90660	99368	58240	52376	10	-0.349918680557374
19	G10	sample	M-010293-00	HRLP5	117245	NM_054108	0.9649357176	0.4320052488	0.4477036562	0.0031122598	0.996329293	0.9335421422	0.4343715676	0.42963893	104228	112068	44292	42432	10	-0.552296343766309
19	G24	sample	M-010863-00	RLN3	117579	NM_080864	0.8687996078	0.5193360685	0.5977627797	0.0464585762	0.8834932895	0.8541059261	0.5660207124	0.4726514246	92424	102532	57716	46680	10	-0.402237220369979
20	A05	sample	M-018600-00	DKFZP434N1817	84077	NM_032137	1.0515139474	0.7101333032	0.6753436842	0.0002460894	1.0742885182	1.0287393766	0.7107925169	0.7094740894	131364	142108	56916	58980	11	-0.324656315871136
20	A06	sample	M-018614-00	ZNF289	84364	NM_032389	0.9139330979	1.2386411302	1.3552864351	0.0060047413	0.9036310108	0.9242351851	1.2771186652	1.2001635952	110496	127672	102264	99772	11	0.355286435055626
20	A07	sample	M-015708-00	KBTBD7	84078	NM_032138	0.9358682882	0.5951674812	0.6359521833	1.68e-05	0.9815832516	0.8901533249	0.5935010116	0.5968339508	120028	122964	47524	49616	11	-0.364047816693398
20	A08	sample	M-014889-00	PRAC	84366	NM_032391	1.0455765196	1.422785057	1.3607660753	0.0053995712	1.0745175008	1.0166355384	1.4800309714	1.3655391426	131392	140436	118512	113520	11	0.360766075298159
20	A09	sample	M-014788-00	ANKRD27	84079	NM_032139	0.7957482989	1.1479959605	1.4426621611	0.0006717896	0.8292443572	0.7622522405	1.1335514649	1.1624404561	101400	105296	90768	96636	11	0.442662161086692
20	A10	sample	M-013558-00	HOOK3	84376	NM_032410	0.7507267732	0.3626773056	0.4831016004	3.15e-13	0.7867190056	0.7147345408	0.3663111622	0.359043449	96200	98732	29332	29848	11	-0.516898399594736
20	A14	sample	M-018616-00	ORF1-FL49	84418	NM_032412	1.0337222448	0.581568278	0.5625962689	1.54e-08	1.0831534184	0.9842910712	0.5996952819	0.5634412741	132448	135968	48020	46840	11	-0.437403731103301
20	A19	sample	M-017298-00	ARL6	84100	NM_032146	0.7984358305	0.5241683446	0.6564940157	7.08e-05	0.8266274125	0.7702442485	0.5292104803	0.5191262089	101080	106400	42376	43156	11	-0.343505984354744
20	A23	sample	M-014791-00	DKFZP434G072	84103	NM_032149	0.6036739498	0.8267776151	1.3695764335	0.0036662914	0.6712463199	0.5361015796	0.8565576841	0.7969975461	82080	74056	68588	66256	11	0.369576433507515
20	B08	sample	M-008332-00	N-PAC	84656	NM_032569	0.9072030336	1.272989084	1.40320197	0.0018916447	0.9649656526	0.8494404147	1.217873467	1.328104701	117996	117340	97520	110408	11	0.403201969991561
20	B13	sample	M-007556-00	SLC37A3	84255	NM_032295	1.0149984319	0.435787976	0.4293484229	1.29e-17	1.0972194962	0.9327773676	0.4237580238	0.4478179281	134168	128852	33932	37228	11	-0.570651577131762
20	B23	sample	M-014844-00	FBXW9	84261	NM_032301	0.9139367232	0.501549416	0.5487791477	3.33e-09	0.9952567877	0.8326166587	0.4701151435	0.5329836886	121700	115016	37644	44308	11	-0.451220852255606
20	C08	sample	M-024802-00	KIAA1817	84443	XM_042978	0.9340267745	1.3299864655	1.4239275594	0.0011114252	0.9671573438	0.9008962052	1.3593426081	1.3006303229	118264	124448	108848	108124	11	0.423927559477044
20	C21	sample	M-008129-00	FLJ12592	84129	NM_032169	0.9809806441	1.2996435564	1.3248411823	0.0122309219	1.0216552175	0.9403060707	1.3668856308	1.232401482	124928	129892	109452	102452	11	0.324841182358248
20	D09	sample	M-014846-00	MGC3200	84265	NM_032305	0.9398253174	1.2789237222	1.3608100341	0.0049671066	1.0099116781	0.8697389567	1.3050927892	1.2527546552	123492	120144	104504	104144	11	0.360810034079637
20	D12	sample	M-014929-00	DSCR8	84677	NM_032589	1.0518256494	0.5423697991	0.5156461048	4.09e-11	1.1233562316	0.9802950673	0.5744186627	0.5103209354	137364	135416	45996	42424	11	-0.484353895216754
20	D16	sample	M-007627-00	SLC9A7	84679	NM_032591	0.9942222673	1.536337777	1.5452659104	3.35e-05	1.0606476938	0.9277968408	1.5701975673	1.5024779868	129696	128164	125732	124904	11	0.545265910430892
20	D20	sample	M-014931-00	HINT2	84681	NM_032593	0.8982878189	1.2899950888	1.4360598704	0.0007880476	0.9508995747	0.8456760631	1.3262731973	1.2537169802	116276	116820	106200	104224	11	0.436059870353876
20	E09	sample	M-014796-00	FLJ12787	84135	NM_032175	1.0038123281	1.4560849353	1.4505549439	0.0005050387	1.0746156362	0.93300902	1.4396683068	1.4725015638	131404	128884	115280	122412	11	0.450554943926675
20	E18	sample	M-018619-00	FBN3	84467	NM_032447	0.6501427602	0.2971704999	0.4570849944	3.7e-15	0.7135099771	0.5867755433	0.3115618053	0.2827791945	87248	81056	24948	23508	11	-0.542915005608025
20	F14	sample	M-014936-00	CAPS2	84698	NM_032606	0.6114867759	0.2970637878	0.4858057434	3.46e-13	0.6572783775	0.5656951744	0.3279966031	0.2661309724	80372	78144	26264	22124	11	-0.51419425663215
20	F16	sample	M-014937-00	CREB3L3	84699	NM_032607	0.8372074655	1.1511468591	1.3749839874	0.0035494002	0.9080798168	0.7663351142	1.1178160202	1.1844776981	111040	105860	89508	98468	11	0.37498398734716
20	F17	sample	M-017963-00	GMRP-1	84280	NM_032320	0.820339717	1.1143610681	1.3584141362	0.0049671066	0.8964671246	0.7442123094	1.1177660664	1.1109560699	109620	102804	89504	92356	11	0.358414136310799
20	F21	sample	M-007087-00	RNF135	84282	NM_032322	0.9384195024	0.2975664077	0.3170931624	4.14e-46	1.0388943409	0.837944664	0.1146439543	0.4804888611	127036	115752	9180	39944	11	-0.682906837589029
20	F23	sample	M-014855-00	MGC13102	84283	NM_032323	0.9991954888	1.3330369464	1.3341102529	0.0093003504	1.0579980373	0.9403929404	1.347303744	1.3187701487	129372	129904	107884	109632	11	0.334110252923806
20	G06	sample	M-023663-00	ZNF527	84503	XM_030378	0.8304971585	1.0870075593	1.3088636706	0.015694488	0.8908079817	0.7701863354	1.1204136174	1.0536015012	108928	106392	89716	87588	11	0.308863670524595
20	G07	sample	M-014801-00	AYP1	84153	NM_032193	0.7249889179	0.9551190716	1.3174257538	0.0123338394	0.7958783121	0.6540995237	0.9437270525	0.9665110908	97320	90356	75568	80348	11	0.317425753784753
