plate	well	controlStatus	GeneID	GeneSymbol	LocusID	Accession	VehAvg	DrugAvg	ratio	FDR	Vnorm.1	Vnorm.2	Dnorm.1	Dnorm.2	Vraw.1	Vraw.2	Draw.1	Draw.2	Batch	SI_dev
1	A05	sample	M-031084-00	LOC390916	0	XM_372723167	0.9375405434	0.9103765148	0.9710262891	0.8351440713	0.9723749901	0.9027060968	0.8180869928	1.0026660367	122704	117888	94116	118844	1	-0.0289737109395191
1	A06	sample	M-031542-00	LOC392473	0	XM_373351169	0.873815527	0.8362106799	0.9569647759	0.5530531158	0.8687851652	0.8788458888	0.8188171482	0.8536042117	109632	114772	94200	101176	1	-0.0430352241268884
1	A07	sample	M-031085-00	LOC388532	0	XM_371160167	0.6812921315	0.7355587322	1.0796524696	0.4606662987	0.6569775735	0.7056066894	0.7200375509	0.7510799136	82904	92148	82836	89024	1	0.0796524696160865
1	A08	sample	M-031547-00	LOC389857	0	XM_372214169	0.5758827041	0.6268488765	1.0885009603	0.4122814768	0.5634994849	0.5882659234	0.6183373318	0.6353604212	71108	76824	71136	75308	1	0.0885009603218172
1	A09	sample	M-031088-00	LOC400685	0	XM_378795167	1.051833446	1.0634401247	1.0110347116	0.9141076229	1.0550122831	1.0486546089	1.0214874309	1.1053928186	133132	136948	117516	131020	1	0.0110347116210643
1	A10	sample	M-031548-00	LOC401589	0	XM_377000169	0.9347502688	0.9538755809	1.020460344	0.7895914627	0.9285997306	0.9409008071	0.9488891207	0.958862041	117180	122876	109164	113652	1	0.0204603439414137
1	A11	sample	M-031091-00	LOC400687	0	XM_375602167	0.8051828713	0.8855565072	1.0998203498	0.4122814768	0.8329027657	0.7774629769	0.86179201	0.9093210043	105104	101532	99144	107780	1	0.0998203497799619
1	A12	sample	M-031549-00	LOC401590	0	XM_377002169	0.9639396528	0.9840359899	1.0208481278	0.8351440713	0.979443696	0.9484356096	0.9447863426	1.0232856371	123596	123860	108692	121288	1	0.0208481277760755
1	A13	sample	M-031092-00	LOC400688	0	XM_375603167	0.6440431826	0.765405869	1.1884387409	0.2282709618	0.6331405024	0.6549458628	0.7531726991	0.7776390389	79896	85532	86648	92172	1	0.188438740877684
1	A14	sample	M-031552-00	LOC392467	0	XM_373349169	0.9304811299	1.0431105163	1.1210442455	0.4122814768	0.962421745	0.8985405149	1.0136643371	1.0725566955	121448	117344	116616	127128	1	0.121044245524949
1	A15	sample	M-031093-00	LOC400689	0	XM_375604167	0.962205172	0.9904488024	1.0293530228	0.738275083	0.9783025596	0.9461077844	1.0217655853	0.9591320194	123452	123556	117548	113684	1	0.0293530227979277
1	A16	sample	M-031558-00	LOC401605	0	XM_377027169	0.86128367	1.0153083408	1.1788315235	0.2282709618	0.8648862826	0.8576810573	1.0163415737	1.014275108	109140	112008	116924	120220	1	0.178831523543157
1	A17	sample	M-031095-00	LOC400690	0	XM_378798167	0.9762496856	1.0780909611	1.1043188818	0.4122814768	0.9910769475	0.9614224237	1.0872361879	1.0689457343	125064	125556	125080	126700	1	0.104318881739162
1	A18	sample	M-031559-00	LOC401606	0	XM_377028169	0.676424669	0.8834733133	1.3060926869	0.1961389081	0.669847056	0.6830022819	0.9244115295	0.8425350972	84528	89196	106348	99864	1	0.306092686893571
1	A19	sample	M-031097-00	LOC400691	0	XM_378799167	0.8178742462	1.0426880731	1.2748757868	0.1961389081	0.8317299311	0.8040185613	1.0790654011	1.0063107451	104956	105000	124140	119276	1	0.274875786766154
1	A20	sample	M-031560-00	LOC401607	0	XM_379717169	0.7737776164	0.9152761191	1.1828671439	0.2473938652	0.7977811237	0.7497741091	0.9172490525	0.9133031857	100672	97916	105524	108252	1	0.182867143867927
1	A21	sample	M-031098-00	LOC390927	0	XM_372726167	0.9055991803	1.0260781913	1.1330378976	0.4122814768	0.9708534749	0.8403448857	1.0315705295	1.0205858531	122512	109744	118676	120968	1	0.133037897583
1	A22	sample	M-031561-00	LOC392509	0	XM_373358169	0.9137133626	1.0059086851	1.1009017995	0.4122814768	0.937094857	0.8903318682	1.0174194221	0.9943979482	118252	116272	117048	117864	1	0.100901799539908
1	A23	sample	M-031099-00	LOC400692	0	XM_375608167	0.8124979874	0.8636386788	1.0629425453	0.4865692378	0.8407639274	0.7842320474	0.8595667745	0.8677105832	106096	102416	98888	102848	1	0.0629425453885131
1	A24	sample	M-031562-00	LOC389878	0	XM_374333169	0.5099338565	0.6212479523	1.2182912438	0.4020880518	0.5514541564	0.4684135565	0.6069329995	0.635562905	69588	61172	69824	75332	1	0.218291243838826
1	B05	sample	M-031316-00	LOC391253	0	XM_372869168	0.9014738971	1.0096440564	1.1199925585	0.4122814768	0.9087566368	0.8941911573	1.055735197	0.9635529158	114676	116776	121456	114208	1	0.11999255852441
1	B06	sample	M-032299-00	TRY1	136541	NM_001001317170	0.9623329072	0.990554164	1.0293258773	0.7153273791	0.9622632538	0.9624025606	1.0186015785	0.9625067495	121428	125684	117184	114084	1	0.0293258773433327
1	B07	sample	M-031317-00	LOC391257	0	XM_372870168	0.8203319022	0.913393266	1.1134435507	0.4078923179	0.8103653221	0.8302984823	0.9349466291	0.8918399028	102260	108432	107560	105708	1	0.113443550714563
1	B08	sample	M-032300-00	SPINK5L2	408187	NM_001001325170	0.9625347073	1.0277887879	1.0677940028	0.4764239463	0.9442586576	0.980810757	1.0630019819	0.992575594	119156	128088	122292	117648	1	0.067794002808526
1	B09	sample	M-031321-00	LOC400831	0	XM_378956168	0.9699239565	0.9847721864	1.0153086536	0.8590629072	0.9819478564	0.9579000567	1.0120997184	0.9574446544	123912	125096	116436	113484	1	0.0153086535802405
1	B10	sample	M-032301-00	C10ORF74	221035	NM_001001330170	0.8923854474	0.8821428078	0.9885221799	0.9035365322	0.8956335684	0.8891373264	0.9291749244	0.8351106911	113020	116116	106896	98984	1	-0.0114778201278857
1	B11	sample	M-031323-00	LOC400832	0	XM_378957168	0.9187017436	0.9638654975	1.0491604094	0.5610901291	0.9477454632	0.8896580241	0.9822328848	0.9454981102	119596	116184	113000	112068	1	0.049160409417059
1	B12	sample	M-032302-00	MGC27121	408263	NM_001001343170	0.9230671729	0.8708114961	0.9433890855	0.5461585792	0.9305333228	0.915601023	0.917075206	0.8245477862	117424	119572	105504	97732	1	-0.0566109144969681
1	B13	sample	M-031325-00	LOC388780	0	XM_373904168	0.9053158392	0.8941054254	0.987617124	0.8791995958	0.922260084	0.8883715944	0.9050102569	0.883200594	116380	116016	104116	104684	1	-0.0123828759694586
1	B14	sample	M-032303-00	CLDN20	49861	NM_001001346170	1.0125301927	1.1002340994	1.0866185595	0.4122814768	1.0074332356	1.0176271498	1.1093842356	1.0910839633	127128	132896	127628	129324	1	0.0866185595079689
